Sr No,Product Name,Category,GST,Offered Disc %,,,
98,PlayS India INR 12000,Gaming,--,1.5,,,
99,PlayS India INR 13500,Gaming,--,1.5,,,
100,Plays India INR 2000,Gaming,--,1.5,,,
101,Plays India INR 3000,Gaming,--,1.5,,,
102,Plays India INR 4000,Gaming,--,1.5,,,
103,Plays India INR 5000,Gaming,--,1.5,,,
104,PlayS India INR 7000,Gaming,--,1.5,,,
105,PlayS India INR 8000,Gaming,--,1.5,,,
106,PlayS India INR 9000,Gaming,--,1.5,,,
107,Ravenswatch GT,Gaming,--,4.5,,,
108,Razer Gold India 100 INR,Gaming,--,3.75,,,
109,Razer Gold India 1000 INR,Gaming,--,3.75,,,
110,Razer Gold India 250 INR,Gaming,--,3.75,,,
111,Razer Gold India 2500 INR,Gaming,--,3.75,,,
112,Razer Gold India 3000 INR,Gaming,--,3.75,,,
113,Razer Gold India 50 INR,Gaming,--,3.75,,,
114,Razer Gold India 500 INR,Gaming,--,3.75,,,
115,Roblox Gift Card Code - $10 Credit,Gaming,--,7.25,,,
116,Roblox Gift Card Code - $25 Credit,Gaming,--,7.25,,,
117,Roblox Gift Card Code - $50 Credit,Gaming,--,7.25,,,
118,Robocop Rogue City GT,Gaming,--,4.5,,,
119,Session Skate Sim GT,Gaming,--,4.5,,,
120,STARFIELD GT,Gaming,INCLUSIVE,4.5,,,
121,Steelrising GT,Gaming,--,4.5,,,
122,Taxi Life GT,Gaming,--,4.5,,,
123,Test Drive Unlimited Solar Crown GT,Gaming,--,4.5,,,
124,The Elder Scrolls Online - Standard Edition GT,Gaming,INCLUSIVE,4.5,,,
125,The Elder Scrolls V: Skyrim Anniversary Edition GT,Gaming,INCLUSIVE,4.5,,,
126,The Elder Scrolls V: Skyrim Special Edition GT,Gaming,INCLUSIVE,4.5,,,
127,Valorant Gift Card 1000 VP,Gaming,--,7,,,
128,Valorant Gift Card 1520 VP,Gaming,--,7,,,
129,Valorant Gift Card 2050 VP,Gaming,--,7,,,
130,Valorant Gift Card 2575 VP,Gaming,--,7,,,
131,Valorant Gift Card 3650 VP,Gaming,--,7,,,
132,Valorant Gift Card 475 VP,Gaming,--,7,,,
133,Valorant Gift Card 5350 VP,Gaming,--,7,,,
134,Valorant Gift Card 8700 VP,Gaming,--,7,,,
135,Zenless Zone Zero 1090 MONOCHROME,Gaming,--,7.5,,,
136,Zenless Zone Zero 2240 MONOCHROME,Gaming,--,7.5,,,
137,Zenless Zone Zero 330 MONOCHROME,Gaming,--,7.5,,,
138,Zenless Zone Zero 3880 MONOCHROME,Gaming,--,7.5,,,
139,Zenless Zone Zero 60 MONOCHROME,Gaming,--,7.5,,,
140,Zenless Zone Zero 8080 MONOCHROME,Gaming,--,7.5,,,
141,Zenless Zone Zero Inter-Knot Membership,Gaming,--,7.5,,,
142,Steam Wallet INR 1000,Gaming,--,4.5,,,
143,Steam Wallet INR 175,Gaming,--,4,,,
144,Steam Wallet INR 2500,Gaming,--,4.5,,,
145,Steam Wallet INR 500,Gaming,--,4.5,,,
146,Steam Wallet INR 750,Gaming,--,4.5,,,
147,Steam Wallet INR 99,Gaming,--,4,,,
148,Steam Wallet INR 250,Gaming,--,4.5,,,
149,Steam Wallet INR 150,Gaming,--,4.5,,,
150,Flipkart Gift Card,E-Commerce,--,2,,,
151,@ Home,Fashion & Lifestyle,--,7,,,
152,Absolute Barbecues,Food & Beverages,--,7.5,,,
153,Aeropostale,Fashion & Lifestyle,--,8,,,
154,Air India,Tour & Travel,--,4,,,
155,AJIO,Fashion & Lifestyle,--,6.25,,,
156,Allen Solly,Fashion & Lifestyle,--,3.75,,,
157,Amazon Prime Lite Edition-Giftbig,E-Commerce,--,8,,,
158,American Eagle,Fashion & Lifestyle,--,3.75,,,
159,American Tourister,Tour & Travel,--,4,,,
160,AND India,Fashion & Lifestyle,--,7.5,,,
161,Anita Dongre,Fashion & Lifestyle,--,9.5,,,
162,Archies Gallery,Fashion & Lifestyle,--,12.5,,,
163,Armani Exchange-Luxe,Fashion & Lifestyle,--,12,,,
164,Asia Seven Express,Food & Beverages,--,7.5,,,
165,Assembly,Tour & Travel,--,15,,,
166,Aurelia,Fashion & Lifestyle,--,10,,,
167,Auric,Fashion & Lifestyle,--,33,,,
168,Avast,E-Commerce,--,13.5,,,
169,Bajaj Pay E-Gift Voucher,E-Commerce,--,4.5,,,
170,Barbeque Nation,Food & Beverages,--,7,,,
171,Baskin Robbins,Food & Beverages,--,12.5,,,
172,Bata,Fashion & Lifestyle,--,12.5,,,
173,Beer Cafe,Food & Beverages,--,11,,,
174,Behrouz Biryani - B2C,Food & Beverages,--,9,,,
175,Bewakoof Brands,E-Commerce,--,12.5,,,
176,Beyoung,Fashion & Lifestyle,--,23,,,
177,Bhima Jewellers - Coin,Jewellery,--,0.75,,,
178,Bhima Jewellers - Jewellery,Jewellery,--,2.75,,,
179,BIBA,Fashion & Lifestyle,--,8,,,
180,Bigbasket,Food & Beverages,--,3.75,,,
181,Bikanervala,Food & Beverages,--,12,,,
182,Birkenstock,E-Commerce,--,9,,,
183,Blackberry,E-Commerce,--,9,,,
184,Blaupunkt,Fashion & Lifestyle,--,11,,,
185,Blinkit,Food & Beverages,--,3.5,,,
186,BlissClub,Fashion & Lifestyle,--,9,,,
187,Blue Tokai,E-Commerce,--,12.5,,,
188,BlueStone Diamond,Jewellery,--,7.5,,,
189,Bluestone Gemstone Studded,Jewellery,--,2.75,,,
190,BlueStone Gold,Jewellery,--,2,,,
191,BlueStone Gold Jewellery,Jewellery,--,3,,,
192,Body Craft,Wellness & Beauty,--,12,,,
193,BOMBAY SHAVING COMPANY,Wellness & Beauty,--,25.5,,,
194,BookMyShow Instant Voucher,Entertainment,--,3.75,,,
195,Borosil,E-Commerce,--,8,,,
196,BrainGymJr,Wellness & Beauty,--,11,,,
197,Brooks Brothers-Luxe,Fashion & Lifestyle,--,12,,,
198,Cafe Coffee Days,Food & Beverages,--,11,,,
199,Cafe Delhi Heights,Food & Beverages,--,9,,,
200,Candere Diamond Jewellery,Jewellery,--,7.5,,,
201,Candere Gold Coin,Jewellery,--,1,,,
202,Candere Gold Jewellery,Jewellery,--,3.5,,,
203,Celio,Fashion & Lifestyle,--,12.5,,,
204,Chumbak,Fashion & Lifestyle,--,12.5,,,
205,Cleartrip-B2C,Tour & Travel,--,5.5,,,
206,Cleartrip Hotels-B2C,Tour & Travel,--,16.5,,,
207,Cosmopolitan India,Fashion & Lifestyle,--,43,,,
208,Croma,E-Commerce,--,2.5,,,
209,Cult Gift Card,Sports & Footwears,--,11,,,
210,Daily Objects,Fashion & Lifestyle,--,20.5,,,
211,Decathlon,Fashion & Lifestyle,--,4.5,,,
212,Discovery Plus,Entertainment,--,20.5,,,
213,Disney Hotstar 12 Months Subscription Voucher At 1499-upto 4Device,Entertainment,--,4,,,
214,Disney Hotstar 12 Months Subscription Voucher At 899-upto 2Device,Entertainment,--,4,,,
