Sr No,Product Name,Category,GST,Offered Disc %,,,
450,Watcho Dish TV-299,Entertainment,--,8,,,
451,Watcho Dish TV-39,Entertainment,--,8,,,
452,Watcho Dish TV-49,Entertainment,--,8,,,
453,Watcho Dish TV-99,Entertainment,--,8,,,
446,Wakefit,Fashion & Lifestyle,--,3.75,,,
454,Westside-B2C,Fashion & Lifestyle,--,9,,,
455,Wildcraft,Fashion & Lifestyle,--,8,,,
457,Wonderchef,Food & Beverages,--,14.5,,,
458,Woodland,Sports & Footwears,--,10,,,
456,William Penn,Fashion & Lifestyle,--,6.5,,,
459,WOT B2C,Fashion & Lifestyle,--,7.5,,,
461,Yatra.com,Tour & Travel,--,7.5,,,
462,Yatra Hotels & Holidays Voucher,Tour & Travel,--,9,,,
463,Yatra Prime,Tour & Travel,--,4.5,,,
464,YouMee,Food & Beverages,--,7.5,,,
465,Zambar,Food & Beverages,--,7.5,,,
466,ZEE5,Entertainment,--,18.5,,,
467,Zepto,E-Commerce,--,3.75,,,
468,Zomato,Food & Beverages,--,4.25,,,
469,Apple Premium Reseller ,Gaming,--,2.75,,,
470,Biryani By Kilo,Food & Beverages,--,14,,,
460,Wrangler,Fashion & Lifestyle,--,7.5,,,
472,Third Wave Coffee,Food & Beverages,--,10.5,,,
